UKB Entry	SNOMED CT ID	SNOMED CT CONCEPT ID	SNOMED CT DESCRIPTION
almodan 500mg capsule	4488701000001118	446801000001107	almodan 500mg capsule
almodan 500mg injection	5830301000001111	1967201000001103	almodan 500mg injection
almogran 12.5mg tablet	7567901000001116	3852401000001106	almogran 12.5mg tablet
almotriptan	107660901000001115	134529000	almotriptan
alnide 0.5% eye drops	10498701000001119	835101000001102	alnide 0.5% eye drops
aloclair mouthwash	11370801000001119	3887701000001105	aloclair mouthwash
alomide eye drops	10288301000001118	116001000001107	alomide eye drops
alophen pill	4970001000001112	1095201000001103	alophen pill
aloral 100mg tablet	5870301000001114	2007301000001101	aloral 100mg tablet
aloral 300mg tablet	5870401000001118	2007401000001109	aloral 300mg tablet
alpha keri bath oil	10258701000001112	83601000001103	alpha keri bath oil
alpha tocopheryl acetate 30iu/g ointment	4595301000001116	605701000001101	alpha tocopheryl acetate 30iu/g ointment
alphaderm cream	10270801000001115	464801000001105	alphaderm cream
alphagan 0.2% eye drops	11093401000001118	2953401000001100	alphagan 0.2% eye drops
alphaparin 3000iu/0.3ml prefilled syringe	6577801000001116	2767001000001103	alphaparin 3000iu/0.3ml prefilled syringe
alphavase 500micrograms tablet	4434001000001115	359801000001107	alphavase 500micrograms tablet
alphodith 0.4% ointment	10343001000001114	676201000001105	alphodith 0.4% ointment
alphodith 1% ointment	10343101000001110	746301000001107	alphodith 1% ointment
alphodith 2% ointment	10343201000001115	34201000001109	alphodith 2% ointment
alphodith 3% ointment	10343301000001112	105701000001102	alphodith 3% ointment
alphosyl 2 in 1 shampoo	10243101000001116	305801000001103	alphosyl 2 in 1 shampoo
alphosyl cream	10270901000001114	309701000001109	alphosyl cream
alphosyl hc cream	10271001000001117	534801000001105	alphosyl hc cream
alphosyl lotion	10324501000001116	447201000001108	alphosyl lotion
alphosyl shampoo	11078901000001111	2878501000001102	alphosyl shampoo
alprazolam	107654601000001112	111127002	alprazolam
alprostadil	107653201000001112	109119001	alprostadil
alrheumat 50mg capsule	4628201000001118	656901000001102	alrheumat 50mg capsule
altacaps 500mg tablet	5778601000001119	1914901000001100	altacaps 500mg tablet
altacite 500mg tablet	6709501000001115	2921201000001102	altacite 500mg tablet
altretamine	107620301000001111	69879000	altretamine
alu-cap capsule	4740601000001110	830801000001103	alu-cap capsule
aludrox gel	7772001000001111	1091501000001103	aludrox gel
aludrox liquid	4967701000001119	1091501000001103	aludrox liquid
aluhyde tablet	4755701000001114	847501000001101	aluhyde tablet
aluline 100mg tablet	5870501000001119	2007501000001108	aluline 100mg tablet
aluline 300mg tablet	5870601000001115	2007601000001107	aluline 300mg tablet
aluminium acetate 13% ear drops	50095001000001111	14021111000001105	aluminium acetate 13% ear drops
aluminium acetate 8% ear drops	51952201000001116	14957011000001108	aluminium acetate 8% ear drops
aluminium chloride 19% cream	10501301000001118	1904501000001105	aluminium chloride 19% cream
aluminium chloride 19% gel	10501101000001115	1904301000001103	aluminium chloride 19% gel
aluminium hydroxide	108101301000001119	80399002	aluminium hydroxide
aluminium oxide 38% paste	15104401000001110	3818111000001109	aluminium oxide 38% paste
aluminium oxide 52% paste	15104201000001111	3818211000001103	aluminium oxide 52% paste
alunex 4mg tablet	4774701000001113	870201000001102	alunex 4mg tablet
alupent 20mg tablet	4248101000001112	68201000001106	alupent 20mg tablet
alupent expectorant 20mg tablet	5803101000001110	1939801000001101	alupent expectorant 20mg tablet
alupram 2mg tablet	4778601000001114	874501000001109	alupram 2mg tablet
aluzine 20mg tablet	5785701000001113	1922301000001100	aluzine 20mg tablet
aluzyme tablet	5865801000001116	2002801000001108	aluzyme tablet
alvedon 125mg suppository	4291301000001111	135801000001101	alvedon 125mg suppository
alvedon 250mg suppository	7196201000001119	3441001000001103	alvedon 250mg suppository
alvedon 60mg suppository	7196301000001111	3441101000001102	alvedon 60mg suppository
alvercol granules 500g	5958101000001115	2094701000001108	alvercol granules 500g
alverine	107794501000001112	349818006	alverine
amantadine	107612601000001112	51361008	amantadine
amaryl 1mg tablet	7096901000001119	3328501000001108	amaryl 1mg tablet
ambaxin 400mg tablet	4295801000001115	142901000001104	ambaxin 400mg tablet
ambisome 50mg infusion (pdr for recon)	4385201000001110	281301000001101	ambisome 50mg infusion (pdr for recon)
amfipen 125mg/5ml syrup	4522001000001118	496701000001109	amfipen 125mg/5ml syrup
amfipen 250mg capsule	4309401000001111	162601000001101	amfipen 250mg capsule
amfipen 250mg injection	5830501000001116	1967401000001104	amfipen 250mg injection
amfipen 250mg/5ml syrup	4568601000001117	566701000001102	amfipen 250mg/5ml syrup
amfipen 500mg capsule	4354601000001116	235801000001103	amfipen 500mg capsule
amfipen 500mg injection	5830601000001117	1967501000001100	amfipen 500mg injection
amias 2mg tablet	7100801000001118	3332901000001100	amias 2mg tablet
amiclav 250mg/125mg tablet	7523801000001111	3803501000001109	amiclav 250mg/125mg tablet
amidox 100mg tablet	7124601000001118	3359401000001101	amidox 100mg tablet
amikacin	107611401000001115	48836000	amikacin
amikin 100mg/2ml paediatric injection	4331601000001119	196901000001105	amikin 100mg/2ml paediatric injection
amikin 500mg/2ml injection	4388601000001117	286601000001104	amikin 500mg/2ml injection
amil-co tablet	4344701000001111	218701000001105	amil-co tablet
amilamont 5mg/ml s/f oral solution	6610601000001118	2803301000001105	amilamont 5mg/ml s/f oral solution
amilmaxco 5/50 tablet	4390201000001118	289901000001101	amilmaxco 5/50 tablet
amiloride	107629401000001114	87395005	amiloride
amilospare 5mg tablet	4570501000001113	569801000001104	amilospare 5mg tablet
aminoglutethimide	107610301000001117	47124006	aminoglutethimide
aminophylline	107614401000001118	55867006	aminophylline
aminosalicylic acid	107843201000001119	417238004	aminosalicylic acid
amiodarone	107620101000001114	69236009	amiodarone
amisulpride	107702601000001117	321636003	amisulpride
amitriptyline	107607101000001116	40589005	amitriptyline
amitriptyline+chlordiazepoxide 12.5mg/5mg capsule	4399801000001110	306801000001107	amitriptyline+chlordiazepoxide 12.5mg/5mg capsule
amix 125 s/f suspension	4726801000001113	810401000001107	amix 125 s/f suspension
amix 250 capsule	4444501000001111	376801000001102	amix 250 capsule
amix 250 s/f suspension	4239601000001114	54401000001109	amix 250 s/f suspension
amix 500 capsule	4488901000001116	447101000001101	amix 500 capsule
amlodipine	107640401000001117	108537001	amlodipine
amlostin 5mg tablet	13496201000001113	8450101000001105	amlostin 5mg tablet
ammonaps 500mg tablet	7431401000001116	3703301000001100	ammonaps 500mg tablet
amnivent 225 sr m/r tablet	4540001000001115	524101000001104	amnivent 225 sr m/r tablet
amobarbital	107622101000001113	73756003	amobarbital
amobarbital sodium	14643401000001110	3683111000001109	amobarbital sodium
amopen 125mg/5ml suspension	4430901000001110	355001000001102	amopen 125mg/5ml suspension
amopen 250mg capsule	4535601000001118	517201000001108	amopen 250mg capsule
amopen 250mg/5ml suspension	4475301000001116	425401000001102	amopen 250mg/5ml suspension
amopen 500mg capsule	4581701000001118	587001000001104	amopen 500mg capsule
amoram 125mg/5ml s/f suspension	4286601000001114	128201000001108	amoram 125mg/5ml s/f suspension
amoram 250mg capsule	4217401000001111	17101000001101	amoram 250mg capsule
amoram 250mg/5ml s/f suspension	4337501000001113	205601000001109	amoram 250mg/5ml s/f suspension
amoram 500mg capsule	4628401000001119	657201000001109	amoram 500mg capsule
amorolfine	107774801000001119	332998007	amorolfine
amoxapine	107602101000001118	29840005	amoxapine
amoxicillin	107601001000001111	27658006	amoxicillin
amoxident 250mg capsule	13487401000001110	8438801000001103	amoxident 250mg capsule
amoxident 500mg capsule	13501901000001116	8457101000001106	amoxident 500mg capsule
amoxidin 250mg capsule	5830101000001114	1967001000001109	amoxidin 250mg capsule
amoxidin 500mg capsule	5830201000001119	1967101000001105	amoxidin 500mg capsule
amoxil 125mg/1.25ml paediatric suspension	4555701000001110	547101000001107	amoxil 125mg/1.25ml paediatric suspension
amoxil 125mg/5ml syrup	11756701000001111	887401000001108	amoxil 125mg/5ml syrup
amoxil 1g injection (pdr for recon)	4528301000001117	505801000001101	amoxil 1g injection (pdr for recon)
amoxil 250mg capsule	4673101000001116	727401000001100	amoxil 250mg capsule
amoxil 250mg injection (pdr for recon)	4438101000001114	365601000001103	amoxil 250mg injection (pdr for recon)
amoxil 3g/sachet s/f powder	4471001000001116	417101000001107	amoxil 3g/sachet s/f powder
amoxil 500mg capsule	4712901000001112	789101000001106	amoxil 500mg capsule
amoxil 500mg injection (pdr for recon)	4482101000001117	436001000001104	amoxil 500mg injection (pdr for recon)
amoxil 500mg s/f dispersible tablet	4609101000001113	627301000001104	amoxil 500mg s/f dispersible tablet
amoxil 750mg/sachet s/f powder	4252801000001115	76501000001103	amoxil 750mg/sachet s/f powder
amoxil fiztab 125mg s/f chewable tablet	4240301000001112	55401000001105	amoxil fiztab 125mg s/f chewable tablet
amoxil fiztab 250mg s/f chewable tablet	4287301000001117	129201000001102	amoxil fiztab 250mg s/f chewable tablet
amoxil fiztab 500mg s/f chewable tablet	4338001000001115	206701000001108	amoxil fiztab 500mg s/f chewable tablet
amoxil sf 125mg/5ml s/f suspension	4381801000001113	276101000001101	amoxil sf 125mg/5ml s/f suspension
amoxil sf 250mg/5ml s/f suspension	4425801000001113	346901000001109	amoxil sf 250mg/5ml s/f suspension
amoxymed 125mg/5ml syrup	4615301000001110	636601000001105	amoxymed 125mg/5ml syrup
amoxymed 250mg capsule	4309701000001116	162901000001108	amoxymed 250mg capsule
amphocil 100mg intravenous infusion	4960201000001111	1081201000001102	amphocil 100mg intravenous infusion
amphocil 50mg i-v infusion (pdr for recon)	4960101000001116	1081101000001109	amphocil 50mg i-v infusion (pdr for recon)
ampicillin	107602601000001110	31087008	ampicillin
ampicillin+cloxacillin	108256601000001111	346320003	ampicillin+cloxacillin
ampiclox 250mg/5ml syrup	4731501000001119	817301000001103	ampiclox 250mg/5ml syrup
ampiclox 500mg capsule	4489301000001112	447501000001106	ampiclox 500mg capsule
ampiclox injection (pdr for recon)	4507001000001113	472401000001105	ampiclox injection (pdr for recon)
ampiclox neonatal injection (pdr for recon)	4348301000001118	225601000001100	ampiclox neonatal injection (pdr for recon)
ampiclox neonatal s/f suspension	4471101000001115	417301000001109	ampiclox neonatal s/f suspension
ampilar 125mg/5ml syrup	5830801000001118	1967701000001106	ampilar 125mg/5ml syrup
ampilar 250mg capsule	4790401000001115	887801000001105	ampilar 250mg capsule
ampilar 250mg/5ml syrup	5830901000001112	1967801000001102	ampilar 250mg/5ml syrup
ampilar 500mg capsule	5830701000001110	1967601000001101	ampilar 500mg capsule
ampitrin 125mg/5ml oral suspension	6786001000001116	3006901000001109	ampitrin 125mg/5ml oral suspension
ampitrin 250mg capsule	6785601000001118	3006501000001101	ampitrin 250mg capsule
ampitrin 250mg/5ml oral suspension	6786101000001115	3007001000001108	ampitrin 250mg/5ml oral suspension
ampitrin 500mg capsule	6785901000001113	3006801000001103	ampitrin 500mg capsule
amprenavir	107656001000001110	116088006	amprenavir
amrit 125mg/5ml suspension	4406001000001115	316201000001108	amrit 125mg/5ml suspension
amrit 250mg capsule	4535801000001119	517601000001105	amrit 250mg capsule
amrit 250mg/5ml suspension	4520701000001115	494901000001102	amrit 250mg/5ml suspension
amrit 500mg capsule	4581901000001116	587301000001101	amrit 500mg capsule
amyben 100mg tablet	12847601000001118	4217201000001108	amyben 100mg tablet
amytal 15mg tablet	5814001000001113	1950701000001101	amytal 15mg tablet
anabact 0.75% gel	10864201000001112	2554001000001100	anabact 0.75% gel
anacal ointment	5784701000001114	1921301000001105	anacal ointment
anacal rectal ointment	4237001000001111	51301000001104	anacal rectal ointment
anacal suppository	5784801000001117	1921401000001102	anacal suppository
anadin ibuprofen 200mg tablet	6817001000001119	3041701000001105	anadin ibuprofen 200mg tablet
anadin paracetamol 500mg tablet	13046201000001114	4327201000001109	anadin paracetamol 500mg tablet
anadin tablet	6215901000001118	2371101000001101	anadin tablet
anafranil 10mg capsule	4259701000001117	86301000001104	anafranil 10mg capsule
anakinra	107813301000001117	395279009	anakinra
ananase forte 100,000units tablet	5871101000001117	2008101000001102	ananase forte 100,000units tablet
anapolon-50 50mg tablet	4390301000001110	290301000001108	anapolon-50 50mg tablet
anastrozole	107646301000001111	108774000	anastrozole
anbesol adult oral gel	11089201000001116	2933801000001104	anbesol adult oral gel
ancoloxin tablet	4783301000001115	879501000001108	ancoloxin tablet
ancotil 2.5g/250ml intravenous infusion	4374701000001112	265901000001101	ancotil 2.5g/250ml intravenous infusion
ancotil 500mg tablet	6318101000001115	2495701000001101	ancotil 500mg tablet
andrews liver salts powder	6269801000001111	2436401000001105	andrews liver salts powder
androcur 50mg tablet	4434201000001114	360501000001108	androcur 50mg tablet
andropatch 2.5mg/24hours transdermal patch	6643001000001113	2842501000001100	andropatch 2.5mg/24hours transdermal patch
andursil suspension	5778701000001112	1915001000001100	andursil suspension
aneurone mixture	5868001000001119	2005001000001107	aneurone mixture
angettes 75mg tablet	4478801000001116	430901000001103	angettes 75mg tablet
angeze 10mg tablet	6268901000001114	2435501000001101	angeze 10mg tablet
angeze sr 40 m/r capsule	6597601000001112	2788201000001106	angeze sr 40 m/r capsule
angilol 10mg tablet	4524401000001115	500401000001106	angilol 10mg tablet
angiopine 5mg capsule	4331301000001113	196401000001101	angiopine 5mg capsule
angiotensin ii receptor antagonist	108116701000001113	96308008	angiotensin ii receptor antagonist
angiozem 60mg m/r tablet	4633201000001113	663901000001104	angiozem 60mg m/r tablet
angitak 1.25mg spray	7298001000001114	3553901000001109	angitak 1.25mg spray
angitate 10mg tablet	4958601000001116	1079201000001109	angitate 10mg tablet
angitil sr 90 m/r capsule	6283101000001115	2452001000001103	angitil sr 90 m/r capsule
anhydrol forte roll-on solution	10371801000001119	557401000001103	anhydrol forte roll-on solution
anodesyn ointment	10343401000001116	184201000001105	anodesyn ointment
anovlar-21 tablet	5854801000001113	1991801000001108	anovlar-21 tablet
anquil 250micrograms tablet	4662501000001114	710101000001103	anquil 250micrograms tablet
antabuse 200mg tablet	4707201000001118	780401000001106	antabuse 200mg tablet
antasil liquid	5778901000001114	1915201000001106	antasil liquid
antazoline	107628301000001113	85408000	antazoline
antepar 500mg tablet	5845001000001117	1982001000001109	antepar 500mg tablet
antepar 750mg/5ml elixir	10511501000001111	1910001000001107	antepar 750mg/5ml elixir
antepsin 1g tablet	4248301000001114	68901000001101	antepsin 1g tablet
anthical cream	10499301000001113	1903501000001107	anthical cream
anthisan 50mg tablet	5805401000001117	1942101000001100	anthisan 50mg tablet
anthisan cream	10271301000001119	823501000001105	anthisan cream
anthranol 0.4% ointment	10343501000001117	255201000001103	anthranol 0.4% ointment
anthranol 1% ointment	10343601000001118	325801000001105	anthranol 1% ointment
anthranol 2% ointment	10343701000001111	396301000001100	anthranol 2% ointment
antihistamine 60mg tablet	6596901000001115	2787201000001107	antihistamine 60mg tablet
antipressan 25mg tablet	4970901000001111	1096701000001102	antipressan 25mg tablet
antoin dispersible tablet	5821501000001114	1958301000001103	antoin dispersible tablet
antraderm 1% waxstick	10805401000001113	2336201000001101	antraderm 1% waxstick
antraderm forte 2% waxstick	10805501000001112	2366401000001107	antraderm forte 2% waxstick
antraderm mild 0.5% waxstick	5877401000001119	2015001000001109	antraderm mild 0.5% waxstick
anturan 100mg tablet	4390501000001115	290501000001101	anturan 100mg tablet
anturan 200mg tablet	4434401000001113	360701000001102	anturan 200mg tablet
anugesic-hc cream	10271401000001110	32901000001109	anugesic-hc cream
anusol cream	4271101000001119	104401000001108	anusol cream
anusol hc ointment	10343801000001119	536401000001104	anusol hc ointment
anxon 15mg capsule	5812801000001113	1949501000001100	anxon 15mg capsule
anzemet 50mg tablet	13109701000001114	4397601000001101	anzemet 50mg tablet
apisate m/r tablet	4677701000001114	734301000001101	apisate m/r tablet
apo-go 20mg/2ml injection	7531901000001116	3813101000001102	apo-go 20mg/2ml injection
apomorphine	107619301000001110	67939000	apomorphine
app stomach tablet	4969301000001112	1093801000001101	app stomach tablet
apraclonidine	107764701000001115	330870004	apraclonidine
aprepitant	107814501000001110	398690007	aprepitant
apresoline 25mg tablet	4524601000001117	500601000001109	apresoline 25mg tablet
aprinox 2.5mg tablet	4570801000001111	570501000001100	aprinox 2.5mg tablet
aprovel 75mg tablet	6812501000001113	3036801000001106	aprovel 75mg tablet
apsifen 200mg tablet	4662601000001113	710401000001109	apsifen 200mg tablet
apsin 125mg/5ml elixir	4379901000001110	273701000001108	apsin 125mg/5ml elixir
apsin 250mg tablet	4248401000001118	69101000001107	apsin 250mg tablet
apsin 250mg/5ml elixir	4423801000001114	344401000001109	apsin 250mg/5ml elixir
apsolol 10mg tablet	4296401000001110	143901000001107	apsolol 10mg tablet
apsolox 20mg tablet	4434601000001111	361001000001109	apsolox 20mg tablet
apstil 1mg tablet	4617401000001114	640901000001102	apstil 1mg tablet
aqsia eye irrigation solution	11097101000001115	2965401000001107	aqsia eye irrigation solution
aquadrate 10% cream	10271501000001114	182601000001103	aquadrate 10% cream
aqueous cream bp	49261901000001110	9721801000001102	aqueous cream bp
aradolene cream	10501701000001119	1905001000001102	aradolene cream
aranesp 10micrograms/0.4ml prefilled syringe	7669601000001110	3962301000001101	aranesp 10micrograms/0.4ml prefilled syringe
arava 100mg tablet	7354201000001114	3617201000001108	arava 100mg tablet
arava 10mg tablet	7354001000001115	3617001000001102	arava 10mg tablet
arava 20mg tablet	7354101000001119	3617101000001101	arava 20mg tablet
arbil mr 200mg m/r tablet	7771001000001119	4068601000001103	arbil mr 200mg m/r tablet
arbralene 50mg tablet	4707601000001116	781001000001106	arbralene 50mg tablet
arcoxia 120mg tablet	12556801000001119	4093301000001103	arcoxia 120mg tablet
arcoxia 60mg tablet	12556601000001118	4093101000001100	arcoxia 60mg tablet
arcoxia 90mg tablet	12556701000001111	4093201000001107	arcoxia 90mg tablet
arelix 6mg capsule	4400201000001112	307501000001106	arelix 6mg capsule
argotone nasal spray	5875301000001118	2012701000001101	argotone nasal spray
argotone nose drops	5875201000001110	2012601000001106	argotone nose drops
aricept 5mg tablet	6738501000001118	2952801000001107	aricept 5mg tablet
aridil 2.5mg/20mg tablet	4970301000001110	1096101000001103	aridil 2.5mg/20mg tablet
arimidex 1mg tablet	6354901000001115	2538701000001106	arimidex 1mg tablet
aripiprazole	107824201000001118	406785006	aripiprazole
arobon 80% powder	5782701000001115	1919101000001102	arobon 80% powder
aromasin 25mg tablet	7397901000001115	3667701000001104	aromasin 25mg tablet
arpicolin 2.5mg/5ml syrup	4477001000001110	427801000001106	arpicolin 2.5mg/5ml syrup
arpimycin 125mg/5ml s/f suspension	4976501000001118	1106801000001102	arpimycin 125mg/5ml s/f suspension
arpimycin 125mg/5ml suspension	6663201000001110	2867301000001103	arpimycin 125mg/5ml suspension
arpimycin 250mg/5ml s/f suspension	4976601000001119	1106901000001108	arpimycin 250mg/5ml s/f suspension
arpimycin 250mg/5ml suspension	6663301000001118	2867401000001106	arpimycin 250mg/5ml suspension
arpimycin 500mg/5ml s/f suspension	4793501000001111	891101000001109	arpimycin 500mg/5ml s/f suspension
arpimycin 500mg/5ml suspension	6663401000001114	2867501000001105	arpimycin 500mg/5ml suspension
arret 2mg capsule	10262701000001119	377501000001103	arret 2mg capsule
artane 2mg tablet	4248601000001115	69301000001109	artane 2mg tablet
artelac 0.32% single-use eye drops	11296901000001110	3562601000001100	artelac 0.32% single-use eye drops
arthrofen 200 tablet	4345301000001111	219801000001109	arthrofen 200 tablet
arthrosin 250 tablet	4479401000001110	431501000001103	arthrosin 250 tablet
arthrotec 50 tablet	4571101000001110	570901000001108	arthrotec 50 tablet
arthrotec tablet	8637101000001111	570901000001108	arthrotec tablet
arthroxen 250mg tablet	4617601000001112	641101000001107	arthroxen 250mg tablet
artracin 25mg capsule	4489601000001118	447801000001109	artracin 25mg capsule
arythmol 150mg tablet	4707801000001117	781201000001100	arythmol 150mg tablet
as saliva orthana spray	10788301000001114	192701000001109	as saliva orthana spray
asacol 400mg e/c tablet	4694801000001119	761501000001104	asacol 400mg e/c tablet
asacol mr 400mg e/c tablet	61167201000001110	761501000001104	asacol mr 400mg e/c tablet
asasantin retard m/r capsule	7166101000001111	3406501000001105	asasantin retard m/r capsule
ascalix 4g/20ml syrup	5845101000001116	1982101000001105	ascalix 4g/20ml syrup
ascalix 4g/30ml syrup	5845201000001111	1982201000001103	ascalix 4g/30ml syrup
ascalix 750mg/5ml syrup	4797201000001115	895201000001104	ascalix 750mg/5ml syrup
asendis 25mg tablet	4479501000001114	431701000001109	asendis 25mg tablet
aserbine product	53206501000001117	10100101000001104	aserbine product
asilone liquid	10330401000001112	460301000001109	asilone liquid
askit powder	6216001000001110	2371201000001108	askit powder
asma-vydrin spray	5803201000001115	1939901000001107	asma-vydrin spray
asmabec 50micrograms spacehaler	6586401000001113	2776201000001103	asmabec 50micrograms spacehaler
asmasal 100micrograms spacehaler	6586101000001119	2775901000001100	asmasal 100micrograms spacehaler
asmaven 100micrograms inhaler	5799201000001118	1935901000001105	asmaven 100micrograms inhaler
asmaven 2mg tablet	5798201000001112	1934901000001106	asmaven 2mg tablet
aspav dispersible tablet	4646501000001118	683801000001107	aspav dispersible tablet
aspellin liniment	10328701000001118	791801000001103	aspellin liniment
aspellin spray	10782501000001116	770001000001105	aspellin spray
aspergum 227mg chewing gum	5820401000001117	1957201000001108	aspergum 227mg chewing gum
aspirin	107592201000001117	7947003	aspirin
aspirin+cyclizine hydrochloride 500mg/25mg tablet	10387401000001116	69701000001108	aspirin+cyclizine hydrochloride 500mg/25mg tablet
aspirin+methocarbamol 325mg/400mg tablet	4345501000001116	220201000001107	aspirin+methocarbamol 325mg/400mg tablet
aspirin+metoclopramide 325mg/5mg effervescent tablet	4560101000001112	554101000001103	aspirin+metoclopramide 325mg/5mg effervescent tablet
aspro clear maximum strength soluble tablet	6176801000001113	2325801000001106	aspro clear maximum strength soluble tablet
astemizole	108076301000001112	59456005	astemizole
at 10 250micrograms/ml oral solution	4462201000001114	403601000001109	at 10 250micrograms/ml oral solution
atarax 10mg tablet	4434901000001116	361501000001100	atarax 10mg tablet
atazanavir	107837601000001113	413591007	atazanavir
atazanavir 100mg capsule	13503001000001119	8458301000001109	atazanavir 100mg capsule
atazanavir 150mg capsule	13503101000001118	8458401000001101	atazanavir 150mg capsule
atazanavir 200mg capsule	13503201000001113	8458501000001102	atazanavir 200mg capsule
atenix 25mg tablet	6353501000001113	2537201000001102	atenix 25mg tablet
atenixco 50mg/12.5mg tablet	4571301000001112	571301000001101	atenixco 50mg/12.5mg tablet
atenolol	107629701000001119	87652004	atenolol
atensine 2mg tablet	5811801000001115	1948501000001107	atensine 2mg tablet
ativan 1mg tablet	4277701000001111	114601000001109	ativan 1mg tablet
atomoxetine	107824701000001114	407038000	atomoxetine
atorvastatin	107642301000001112	108600003	atorvastatin
atovaquone	107645201000001114	108718008	atovaquone
atromid-s 500mg capsule	4216601000001112	15801000001103	atromid-s 500mg capsule
atropine	107622201000001118	73949004	atropine
atrovent 20micrograms inhaler	61205801000001119	634201000001102	atrovent 20micrograms inhaler
audax ear drops	4946301000001114	1063301000001109	audax ear drops
audicort ear drops	10294401000001115	342501000001102	audicort ear drops
audinorm ear drops	10294501000001116	412701000001106	audinorm ear drops
augmentin 1.2g injection (pdr for recon)	4482301000001115	436301000001101	augmentin 1.2g injection (pdr for recon)
augmentin 125mg/31mg/5ml s/f suspension	4516101000001114	487001000001109	augmentin 125mg/31mg/5ml s/f suspension
augmentin 250mg/62mg/5ml s/f suspension	4562101000001111	557001000001108	augmentin 250mg/62mg/5ml s/f suspension
augmentin 375mg s/f dispersible tablet	4240501000001117	55601000001108	augmentin 375mg s/f dispersible tablet
augmentin 375mg tablet	4391001000001119	291601000001108	augmentin 375mg tablet
augmentin 600mg injection (pdr for recon)	4438401000001115	365901000001105	augmentin 600mg injection (pdr for recon)
augmentin 625mg tablet	4435101000001115	361701000001106	augmentin 625mg tablet
augmentin duo 400mg/57mg/5ml s/f suspension	6376801000001115	2561601000001100	augmentin duo 400mg/57mg/5ml s/f suspension
auralgicin ear drops	10505801000001114	837201000001100	auralgicin ear drops
auraltone ear drops	10505901000001115	1906501000001103	auraltone ear drops
auranofin	107596501000001118	18002004	auranofin
aureocort cream	10271701000001115	395001000001108	aureocort cream
aureomycin 1% eye ointment	10784101000001117	482601000001104	aureomycin 1% eye ointment
aureomycin 250mg capsule	5836201000001117	1973201000001101	aureomycin 250mg capsule
aureomycin 3% cream	10509301000001119	838401000001102	aureomycin 3% cream
aureomycin 3% ointment	10790001000001110	605901000001104	aureomycin 3% ointment
aureomycin powder	10360701000001113	125101000001107	aureomycin powder
avandamet 1mg / 500mg tablet	13336001000001115	4467501000001106	avandamet 1mg / 500mg tablet
avandia 4mg tablet	7514401000001115	3793101000001104	avandia 4mg tablet
aveeno bath oil	10804401000001112	2334601000001109	aveeno bath oil
aveeno colloidal baby bath additive	12899001000001111	4266001000001104	aveeno colloidal baby bath additive
aveeno colloidal bath additive	11346601000001117	3764601000001108	aveeno colloidal bath additive
aveeno cream	10271801000001112	535101000001103	aveeno cream
aveeno lotion	11423901000001113	4013901000001103	aveeno lotion
aveeno oilated bath additive	10257601000001118	83001000001106	aveeno oilated bath additive
aveeno regular bath additive	10257701000001111	159501000001100	aveeno regular bath additive
avelox 400mg tablet	12526801000001115	4192601000001105	avelox 400mg tablet
aventyl 10mg capsule	4260001000001118	86601000001105	aventyl 10mg capsule
aviral 5% cream	13806301000001110	8596801000001102	aviral 5% cream
aviral 5% cream 2g	13835101000001112	8611201000001101	aviral 5% cream 2g
avlocardyl retard 160mg m/r capsule	10327601000001112	449501000001103	avlocardyl retard 160mg m/r capsule
avloclor 250mg tablet	4525401000001119	501601000001103	avloclor 250mg tablet
avoca 75% applicator	10803301000001118	2326001000001109	avoca 75% applicator
avoca 75% caustic applicator	13749201000001118	8568301000001108	avoca 75% caustic applicator
avoca 95% applicator	10803401000001114	2326101000001105	avoca 95% applicator
avoca 95% caustic applicator	13749501000001115	8568401000001100	avoca 95% caustic applicator
avoca wart and verruca set	7122601000001110	3357301000001103	avoca wart and verruca set
avodart 500micrograms capsule	12990801000001115	4296701000001104	avodart 500micrograms capsule
avomine 25mg tablet	4571401000001116	571501000001108	avomine 25mg tablet
avonex 30micrograms/0.5ml prefilled syringe	13194401000001116	4434001000001104	avonex 30micrograms/0.5ml prefilled syringe
avonex 6million iu injection (pdr for recon)+solvent	6733101000001118	2945901000001107	avonex 6million iu injection (pdr for recon)+solvent
avonex 6million iu/0.5ml prefilled syringe	13142401000001118	4434001000001104	avonex 6million iu/0.5ml prefilled syringe
axid 150mg capsule	4355401000001118	236901000001101	axid 150mg capsule
axsain cream	10782301000001111	604701000001100	axsain cream
azactam 1g injection (pdr for recon)	4574601000001116	576101000001108	azactam 1g injection (pdr for recon)
azactam 2g infusion	4792001000001112	889401000001103	azactam 2g infusion
azactam 2g injection (pdr for recon)	4621401000001110	646201000001109	azactam 2g injection (pdr for recon)
azactam 500mg injection (pdr for recon)	4528401000001113	506001000001103	azactam 500mg injection (pdr for recon)
azamune 50mg tablet	4618101000001119	641701000001108	azamune 50mg tablet
azapropazone	108234901000001114	329543000	azapropazone
azatadine	107589101000001118	1594006	azatadine
azathioprine	107655301000001119	111165009	azathioprine
azelaic acid	107649601000001114	108908008	azelaic acid
azelastine	107643301000001118	108644000	azelastine
azithromycin	107631901000001119	96034006	azithromycin
azlocillin	108072401000001117	55432002	azlocillin
azopt 10mg/ml eye drops	11341701000001115	3737501000001107	azopt 10mg/ml eye drops
aztreonam	107620401000001115	69918003	aztreonam
bacampicillin	108103301000001118	82312001	bacampicillin
baclofen	107591001000001119	6102009	baclofen
baclospas 10mg tablet	4391201000001113	291801000001107	baclospas 10mg tablet
